iter	Passed	Remaining
720	14935	5779
721	14958	5759
722	14977	5738
723	14998	5717
724	15020	5697
725	15044	5677
726	15068	5658
727	15088	5637
728	15105	5615
729	15126	5594
730	15146	5573
731	15164	5552
732	15185	5531
733	15205	5510
734	15227	5490
735	15249	5469
736	15270	5449
737	15291	5428
738	15316	5409
739	15336	5388
740	15358	5368
741	15381	5348
742	15401	5327
743	15422	5306
744	15441	5285
745	15460	5264
746	15481	5243
747	15502	5222
748	15522	5201
749	15543	5181
750	15564	5160
751	15584	5139
752	15603	5118
753	15624	5097
754	15645	5077
755	15666	5056
756	15688	5036
757	15707	5014
758	15735	4996
759	15757	4976
760	15778	4955
761	15799	4934
762	15818	4913
763	15837	4892
764	15859	4871
765	15882	4851
766	15902	4830
767	15923	4810
768	15943	4789
769	15963	4768
770	15984	4747
771	16005	4727
772	16025	4705
773	16046	4685
774	16065	4664
775	16088	4644
776	16109	4623
777	16128	4602
778	16150	4581
779	16172	4561
780	16194	4541
781	16215	4520
782	16238	4500
783	16258	4479
784	16279	4458
785	16298	4437
786	16317	4416
787	16338	4395
788	16358	4374
789	16376	4353
790	16396	4332
791	16419	4312
792	16441	4291
793	16460	4270
794	16481	4250
795	16502	4229
796	16521	4208
797	16540	4186
798	16558	4165
799	16584	4146
800	16604	4125
801	16624	4104
802	16644	4083
803	16664	4062
804	16684	4041
805	16705	4020
806	16724	3999
807	16744	3978
808	16770	3959
809	16792	3938
810	16811	3917
811	16831	3897
812	16851	3876
813	16873	3855
814	16893	3834
815	16913	3813
816	16933	3792
817	16954	3772
818	16975	3751
819	16998	3731
820	17020	3711
821	17040	3690
822	17059	3668
823	17078	3647
824	17099	3627
825	17129	3608
826	17149	3587
827	17169	3566
828	17189	3545
829	17209	3524
830	17231	3504
831	17251	3483
832	17273	3463
833	17294	3442
834	17314	3421
835	17335	3400
836	17356	3379
837	17375	3358
838	17395	3338
839	17425	3319
840	17446	3298
841	17469	3278
842	17491	3257
843	17511	3236
844	17531	3215
845	17552	3195
846	17571	3174
847	17592	3153
848	17612	3132
849	17631	3111
850	17652	3090
851	17671	3069
852	17691	3048
853	17711	3028
854	17732	3007
855	17751	2986
856	17773	2965
857	17792	2944
858	17816	2924
859	17846	2905
860	17870	2885
861	17892	2864
862	17910	2843
863	17930	2822
864	17949	2801
865	17969	2780
866	17988	2759
867	18008	2738
868	18028	2717
869	18047	2696
870	18069	2676
871	18091	2655
872	18110	2634
873	18130	2613
874	18150	2592
875	18174	2572
876	18196	2552
877	18215	2531
878	18240	2510
879	18261	2490
880	18284	2469
881	18303	2448
882	18323	2427
883	18343	2407
884	18364	2386
885	18387	2365
886	18413	2345
887	18433	2324
888	18455	2304
889	18475	2283
890	18497	2262
891	18518	2242
892	18541	2221
893	18562	2200
894	18582	2180
895	18601	2159
896	18622	2138
897	18641	2117
898	18664	2096
899	18688	2076
900	18712	2056
901	18732	2035
902	18754	2014
903	18773	1993
904	18793	1972
905	18814	1952
906	18836	1931
907	18857	1910
908	18879	1890
909	18900	1869
910	18922	1848
911	18943	1827
912	18963	1806
913	18983	1786
914	19002	1765
915	19022	1744
916	19042	1723
917	19061	1702
918	19080	1681
919	19099	1660
920	19126	1640
921	19146	1619
922	19166	1598
923	19187	1578
924	19208	1557
925	19229	1536
926	19256	1516
927	19277	1495
928	19295	1474
929	19316	1453
930	19336	1433
931	19356	1412
932	19376	1391
933	19394	1370
934	19414	1349
935	19433	1328
936	19455	1308
937	19476	1287
938	19496	1266
939	19516	1245
940	19539	1225
941	19560	1204
942	19581	1183
943	19604	1162
944	19623	1142
945	19643	1121
946	19662	1100
947	19683	1079
948	19703	1058
949	19722	1038
950	19746	1017
951	19766	996
952	19785	975
953	19806	955
954	19829	934
955	19850	913
956	19870	892
957	19889	871
958	19909	851
959	19928	830
960	19959	810
961	19982	789
962	20002	768
963	20022	747
964	20042	726
965	20063	706
966	20082	685
967	20103	664
968	20122	643
969	20143	622
970	20165	602
971	20184	581
972	20207	560
973	20227	539
974	20247	519
975	20267	498
976	20287	477
977	20313	456
978	20336	436
979	20356	415
980	20379	394
981	20402	373
982	20421	353
983	20441	332
984	20462	311
985	20482	290
986	20498	269
987	20519	249
988	20538	228
989	20559	207
990	20579	186
991	20600	166
992	20621	145
993	20639	124
994	20663	103
995	20685	83
996	20706	62
997	20728	41
998	20748	20
999	20768	0
